**Analysis of the Request:**

1.  **Role:** Expert transcript editor specializing in Ethereum and blockchain technology.
SPEAKER_00: Yes, exactly, Miami conference. And there was a... so I kind of, I knew already what I expect from it, but of course I never really understood and Gavin helped me quite a bit to understand it. So it was really great.

SPEAKER_01: Were you watching a variety of Bitcoin conference talks? Was that a sort of a regular thing that you were doing at that point, watching YouTube?

SPEAKER_00: Yes, at the time I was very, very interested and very much into these things. I mean, you know, I was hoping that, you know, changes related to this kind of technologies would come a lot earlier. I was already careful. I was sold in the hype a bit, or contributed to it myself in a way.

SPEAKER_01: Had you been sort of following along with things like Mastercoin and Colored Coins and other sort of Bitcoin 2.0 projects?

SPEAKER_00: Yes, actually I did, yeah. Kind of, I think it was Mastercoin at the point—I'm sorry—and there was Mastercoin, I think—oh yeah, yeah, yeah—and there was this kind of, and then OpenTransactions, which is very close to kind of Gavin's heart, I think worked with together. And um, yeah, I don't know what came after that after all, but interesting. And then so after I left the BBC and uh, and uh, running that, um, winter she spent in Thailand, half in the retreat, and then in my spare time I was working on the Yellow Paper and working my way through the really hard notation and getting put in the paper.

SPEAKER_01: And so you went to Gavin's presentation, which would have been very early February. So, I mean, that was only like a week or so after Vitalik's presentation in Miami. It would have been very, very close. So you spoke to Gavin there and then you exchanged emails, did you?

SPEAKER_00: Yes, basically, we changed emails. He put me on Skype group. There was a Skype group at the time. I think it was 20-odd people on it, really. So not a big crowd. And yeah, that's how it all started. So very nice in the beginning to discover really grandiose ideas and chat and be part of it. I'm super proud and very happy that I managed to be at the year nearly, it's kind of a lucky move, to be honest.

SPEAKER_01: So was it a fair bit later in that year that you started working with Danny on Swarm? Were you doing...?

SPEAKER_00: Yeah, then it came a little bit later. So yes, first of all, in the spring, I started working on the Yellow Paper and then a bit on the, as I said, a bit on the C++, but not a lot. And then I think it was in March or sometime that I showed up on the first Ethereum meetup. Maybe not the first. I think you told me it was not the first, but the second one.

SPEAKER_01: In London, this is?

SPEAKER_00: Yes, yes, yes, yes.

SPEAKER_01: So this was organized by Stéphane Tual.

SPEAKER_00: Stéphane Tual was there. There was Michael there, who later came from Nakamoto? No, I'm not sure. And then... sorry, Michael was that, right?

SPEAKER_00: Yes, yes. And I think who I talked to quite a lot was Jack Petersen.

SPEAKER_01: Yeah, of Colony.

SPEAKER_00: Colony fame, exactly. And then there is when I met Jeff first. Jeff became my boss later.

SPEAKER_01: He came to London for that meetup?

SPEAKER_00: Yes, yes, he did. And so I kind of saw that it's quite an international crowd and from all over the world kind of doing these things. So I started to take it very seriously. As I said, I kind of left my job and then joined the ranks. And I kind of started contributing to the Go code. And so after that, I was really into the Golang. That's where I contributed most and became part of the Go Ethereum team after Jeff offered me the job around September, October that year, when the foundation was already of actually paying out some salaries or recruiting people on the teams.

SPEAKER_01: Yeah. So I mean, I was looking at the timing on that. So the Ethereum Foundation was founded in July of 2014, and then the crowd sale was going through July, August, September. And then, yeah, the hiring, that first wave of we've actually got some money to hire people was sort of, you know, September, October.

SPEAKER_00: In October, I was negotiating with Aeron Buchanan, I remember.

SPEAKER_01: Right, right.

SPEAKER_00: My contact then. And then, I don't know when the Amsterdam office in the... was actually funded, but I already visited Jeff I think later in that year there. So when I first kind of joined, I was talking to my summer with my friends in Hungary, some of them related to this Facebook group, and among them like Dániel, Zoltan. And there was another person who was very close to Swarm later, but never actually entered the scene officially. Let him be unnamed. And so there was some thinking that maybe the four of us can form a group, and we can just join as a kind of sub-Swarm team or something. It never happened. So we were just hired individually. Yes, later that year there was DEVcon 0, is that correct?

SPEAKER_01: Yeah, yeah. I mean, if we just pop back a little bit. So through 2014, you know, prior to, you know, the sale and so on, I mean, so how were things working early in 2014? I mean, you've mentioned a Skype group where... you know, were most people kind of working through Skype?

SPEAKER_00: Yes, yes, yes. It was really mainly, mainly, everything was done by, basically, by Gavin, Jeff, and... And the rest of us were just Sherpas on the way at the time. And then just tapping out. I mean, I'm talking about the technical stuff. I'm really not sure about the admin and the foundation stuff. So I hope no offense is taken from anyone. But yeah, for tech stuff, it's yeah. So I think it was actually already in July that Jeff shared a kind of devp2p to do with me, and kind of introduced me to the intricacies of the then aspiring devp2p peer-to-peer protocol. And so I think that was my first project, I think, that was really kind of in the code base that I wrote it, which was then later scraped and completely rewritten by Felix and some of the other guys. But that was my first attempt, I think, at the kind of Go-to-be networking layer. At the time, I was kind of trying to say really crazy ideas to Jeff about some developer tooling, some like, you know, contract verification, and like staging and like fake blockchain environment and stuff. And it was, there's other things to do and it was focusing on like maybe the end user, end user applications like the... at the time. I think it was on the... but it was actually late in the Mist browser business.

SPEAKER_01: Right.

SPEAKER_00: It was a browser. And so he was kind of trying to talk me out of it and said that the other group, the C++ team is assigned to that anyway. So let me not tread on unwanted paths. And so he kind of brought me back to... well, I mean, you had AlethZero, you had AlethZero, right? AlethZero, I guess with an earlier kind of incarnation of that, yeah, that's good. And then but there was some some kind of not so glorious tasks as well at the time, we factor logging and things like this I remember in the early days. But there was also a time when I was really learning, learning Golang, because that was also not the super popular language. There was a lot of learning to do.

SPEAKER_01: I mean, it was relatively new at that point. So you'd mentioned the Yellow Paper. So in those very early months of 2014, Gavin in particular seemed to be incredibly productive in terms of what he was getting through with the C++ client and that Yellow Paper. I mean, was it usually the code that was leading and then the Yellow Paper was being kind of modeled after that?

SPEAKER_00: It's hard for me to say if they really were that kind of hand-in-hand developing, I think. And I can't really tell, maybe it's better as him, to be honest. But yes, the productivity and actually the speed that he was churning out code, absolutely stunning. So it's like a few months after some of his clients already worked. Yeah, to be honest, I mean, Jeff was the same and Jeff was also incredible in his productivity. And those people were really, really nice example in front of me. So I was really happy to learn from them.

SPEAKER_01: Yeah. And I mean, I think that that triangulation was so important, right. Of having multiple clients and the spec. And you had the Python client though, not really to that production status, but you know, those, those three groups all, you know, glorious, uh, statement that, you know, Ethereum was very proud of that, like, this multi-client development was leading to very, very solid specs. It was actually true, but, of course, that was not the reason, but the reason was that all these brilliant individuals just followed their own favorite language and just wanted their own clients to be built. But, you know, I mean, ultimately what came after it is amazing like that. The specification was really... I just remember just a few times that the specification had to be had to be changed. There's like kind of one case when there's like a modular operation that was not good, not exactly it's a minus minus number exactly. Not sure exactly. There was another one when I think it was around Easter, 2015, or something before, in the year leading to the launch. And I think that was when it's kind of a problem that the anchor was ahead. The two anchors had the same timestamp, I think. And that led to a fork. I remember I wrote a kind of blog post about it. Never, never, never published it, so it's interesting.

SPEAKER_01: Talking to Jakub, so he was an intern at the Berlin office in 2015, but he was telling me about a hard fork that had happened on the main net around two weeks or so after launch, which I was completely unaware of. Um, but then looking back, um, you know, there was a sort of a security announcement by Vitalik was a patching of the client. Um, and while I've been doing stuff myself in terms of, like, running old clients, I, I, I saw that as well. Um, if you, if you run 1.00... Okay or get 1.01, it gets stuck. It can't go through Frontier blocks. So it was actually a hard fork.

SPEAKER_00: Do you remember what it was related to? It was not that interesting that you remembered.

SPEAKER_01: I mean, it was some kind of gas counting or something, just some kind of little bug. But that was funny. That was a thing that I was not aware about because, like, you know, so it was a hard fork, but it was never given a name because it was just an accident. And, uh, and you know, you wonder how many more of these little things there were that happened that sort of forgotten in the midst of time. But, um, but yeah, so, I mean, through that, um, early 2014 year, you were working initially on the C++ and then later on the Go. I mean, how many people were working on Go in 2014?

SPEAKER_00: I mean, it was really just a few people around. Jeff, I think, was mainly a designer and Alex van de Sande from Brazil, and yeah, and few...

SPEAKER_01: But you were the second team member then, is that right?

SPEAKER_00: Correct, just about. Maybe actually the first officially, I'm not sure. The first paid one, I'm not sure. But, I mean, we came roughly at the same time with Alex and I think with Felix.

SPEAKER_01: Right. Yeah, in terms of employment. Yeah, but I meant when you were working earlier, you know, when you started there. I mean, were there other people working on that Go Ethereum ahead of your joining in with him?

SPEAKER_00: Not really, not really. So he was, I was pretty much among the ones that contributed and the core that inspired him. And it, I mean, there was quite a vibrant ecosystem of, of, yeah, like it was the... Vitalik, vibrant community of people that like making, you know, the data became slow. It was like Nick Savers around like super tall little dude. And we were going together to the Bitcoin conference. I think it was in April.

SPEAKER_01: Yeah. Oh, you went to Toronto.

SPEAKER_00: No, no, it was in Amsterdam.

SPEAKER_01: Oh, okay.

SPEAKER_00: And that's when I just really talked to Vitalik quite a bit. It was very nice. And I got a big party this month, so it was a nice time. It was a nice time.

SPEAKER_01: Nick Savers is a name that I've seen a lot of times and I, I, I've never really met or spoken to him. I guess he was around a lot early and then maybe kind of disappeared out and maybe he's a little bit of a an unknown guy that doesn't, you know, show his face.

SPEAKER_00: Yeah, I mean, he never joined, he was never—I don't think he was ever like an official Dev team, but he was always like around and helping us. I think he was employed by some bank.

SPEAKER_01: But I saw he and some others did the first continuous integration. You know, they were doing the build system.

SPEAKER_00: Nice, nice.

SPEAKER_01: And then he did work on the Java client as well.

SPEAKER_00: That is true. And the Java client was mainly... by, what was his name?

SPEAKER_01: Roman Mandeleil.

SPEAKER_00: It's correct, Roman Mandeleil, who kind of mysteriously disappeared after a few years. I'm not sure what happened to him.

SPEAKER_01: I did see him on Facebook for quite a time. He seems to have either disappeared or something since.

SPEAKER_00: I remember I still talked to him at the London DEVCON, the DEVCON one. Definitely around there with the whole EthereumJ team, yeah. I don't know what their name was but ether.camp, that's correct. Okay, thanks for reminding us. Well, nostalgic. So yeah, it was early uh sort of early 2017, I think that he uh kind of disappeared. Um, they did Hacker Gold.

SPEAKER_01: And, you know, this is some kind of like hackathon that there was some controversy about. It looked like the team kind of like bought votes, or something, but were paid out anyway. And then, yeah, he sort of disappeared with some people thinking he'd exit scammed. I'm not convinced he did. Because if he did, it was the worst, like, exit scam ever because it was so early. You know, like, it wasn't like anyone had got any kind of big amount of money or anything at that point. It was sort of a very poor scam.

SPEAKER_00: He was definitely... unable principles so maybe so. You'd mentioned about you'd mentioned about you, you know, your sort of collaborative sort of sub-team so that's that's Ethersphere. Well, it's kind of it was it was a wishful thinking that might be Ethersphere but on the other hand I can I did I did register that as an organization of GitHub at least and even meant, yeah. So I think it was pretty much the... Anyway, I mean, if I could call it a brand. I mean, I think at that time, it was only Aaron from Eris who was...

SPEAKER_01: Right, yeah, Harris.

SPEAKER_00: Who later became Monax. This is Monax, Monax. They did some nice work, by the way. But yes, Ethersphere was the home of maybe most of our work, and then you can commit through that to the code base.

SPEAKER_01: So that was yourself, Daniel Nagy, Zoltan Felföldi.

SPEAKER_00: Yes, Zoltan Felföldi. I was already hired to work on the Light client. I think it was in 2015 already. And yeah, because he was not on DEVCON 0. But yeah, DEVCON 0 was already confirmed and it's where I saw Danny and me joining. By that time, there was quite a bit of, yeah, quite a bit of Barcelona and with him, I think.

SPEAKER_01: So maybe, could you say a bit about Swarm? Because my understanding is that some of the ideas that went an awful long way back.

SPEAKER_00: Yeah. So I don't know if you remember, there was in May, May 2014, there was a seminar, you know, trial of talks in the, I think it was in Whitechapel somewhere, or somewhere in East London. And in that talk, that was the first appearance of Web3 in the scene, in the Ethereum context. There was, like, memories usually explained, and the founders really realized how decentralization can basically also be extended then to support the entire, the backend of the entire web. And basically, if you extend it to the data, app data, and then hosting, and to basically put the data layer on top, and then maybe the messaging, then you can conceive of it as the world computer with this holy trinity of you know, you can see them like the Ethereum blockchain as the as the world computer's CPU and and Swarm would be the hard disk would be Swarm and then Whisper would be the kind of messaging layers. So you were mentioning Whitechapel, so that was...

SPEAKER_01: Again, some meetups, was it?

SPEAKER_00: Yes, yes. And I think maybe Théo even had some sort of co-working or some sort of high-end office there, maybe a room or two, because we often found Vitalik there. So I'm not entirely sure how this works out. I don't want to say anything. Would that have been... There were a lot of internal meetings as well.

SPEAKER_01: Would that have been when that kind of famous diagram would first have surfaced? You know, the one with, like, the circle and the apps coming in at the side?

SPEAKER_00: Yes, that was just about that time, yeah.

SPEAKER_01: Including QML, I saw. So it was not just HTML. It was QML and Qt as other anticipated tech platforms.

SPEAKER_00: Yes, so that's when Web3 was born. It's kind of the crazy protocol names like after the ETH, which is also kind of this letter in Icelandic.

SPEAKER_01: Oh, yeah, the thorn.

**[31:06] UNKNOWN:** Yeah.

SPEAKER_01: Yes, exactly. And so then that's when this and then was invented also miscellaneous gimmicks the uh, those those Ethereum well the sub-protocols right? Protocols running on a common basis but the Ethereum was just one of one of many related protocols.

SPEAKER_00: And that's where really I was very dedicated to this whole Ethereum at the time. I really kind of understood what it means to have the entire kind of Turing complete computation being secured on its own with the blockchain. And I kind of really envisioned quite a change in how the internet works if you have Swarm and then Whisper and all these things. So I quite liked the idea. And then later I kind of learned that you know, not only did they socialize on BitTorrent at the time, but actually some of us, like Danny, operating a DC++ node, had some legal troubles. Maybe we can also kind of talk about this with him at some point. So that's kind of brought us so we wrote him quite directly in the realm of implementing Swarm. This idea of a decentralized storage and maybe an incentivization, et cetera, and a neighbor solution on Ethereum. It's a little connected.

SPEAKER_01: And Zoltan mentioned to me that he thought that the idea for Swarm had gone back to at least 2011?

SPEAKER_00: Yeah, so there was this idea of... I mean, of course, I don't know about that, but it was mainly done in his idea that if he... I mean, he saw the amazing works of BitTorrent. They also saw some drawbacks. So maybe historically it's best to derive the whole idea of Swarm from them. Because BitTorrent had difficulty starting a download, because of all these throttling moves, and of course didn't have the proper incentives to keep the data. And also, of course, had the problem with the individual bits of the file not being addressable right away. You had to use a tracker to resolve them. And, of course, that's also a problem with how much previously there is in the balance. Because, I mean, as you remember, you know, For example, in Germany, there was legal prosecution for who used to be torrent.

SPEAKER_01: Oh, I didn't know that.

SPEAKER_00: I mean, not that time, but much later. So I think what Danny was trying to do is give up an idea of how to chunk things. In a way, every chunk is kind of a content addressable. And also kind of that some of the placement of chunks is also part of the DHT. So normally a DHT, like a decentralized hash table. It's basically the idea that you put node IDs and then kind of chunk or like ideas of ideas of content basically in the same space and somehow you get information with location like who to download it from about these body chunks from the neighborhoods that have the same that have the same address or like, yeah, similar address. So there's a there's usually a metric on this and if you use the logarithmic uh distance like that then you can work with Kademlia and then it's gonna mean that works. You can iterate through the peers, like you keep a few peers connected, and you go in a whole way. So do you know closer one to this guy, to this guy, and when this guy is like the hash of Star Wars, and you want to watch Star Wars, and then you call him up, and ultimately you see what the where the chunks are we can download from. So obviously this is not very private. So, and also kind of, it's not very, as you know from this kind of legal problems that it's also not very really deniable. So if you, and if you have a, if you kind of enforce a certain chunks should reside, so you kind of enforce a kind of storage layer on top of it, then you can possibly deny that you know anything about it. It's just a system that enforces that parts of parts of the Star Wars story. So basically, it was done as a genius idea that I think we call it the DPA, Decentralized Preimage Archive. It's basically an archive of pre-images. Pre-images is a piece of data that the image of which is the hash yet, the pre-image is what's before the hashing, the actual piece of the data. And so this idea of actually storing not the location, but the actual data at the place in the DHT, has direct DHT interpretation, was the DPA. And that was kind of a very important, very important notion that came and then became very important in this form. And then, yeah, and then a lot of other things came. So I remember when we were in the 50s, in the 2000s, 15 or 14, I'm not sure. And in the winter, they were sitting in the Arena Plaza in Budapest, the three of us, with Zoltan, talking about this and how to start implementing it. Because there was a pressure to obviously implement the whole thing using UDP as the networking stack because it was considered that TCP is too heavy and too... too slow, but then obviously that at the time you already had the devp2p to be protocol, it's very very easy to implement it and then try this protocol. So I suggested that we should instead of using UDP, just use TCP, but use it for forwarding, keep alive some connections, these are connections, these are permanent connections, with the devp2p, and just use the Kadmelia with the, through the live connections that each forwarding like, in which locally decide to forward to the closer node, and ultimately backward, like if you forward the request and you backward the chunk. And so it was, it seemed like very easy to implement, and we did exactly that. It turned out to be one of the best and most interesting choices of Swarm. It turns out that that's what allows peer-to-peer accounting to be working, and also gives the privacy features that Swarm has. Basically, it's the originator of the request, if you think about it. No one knows that when someone there is asking you something, that they want to watch Star Wars or someone upstream wants to watch Star Wars. Also, it directly solved the opportunistic caching problem, how to distribute automatically popular content, retrieval paths, all the forwarding PS can just remember some chunks. It's very interesting how these ideas started. And then basically we kind of coalesced in 2016. I think the first, the very first release of Swarm in Geth, 1.5, it was in, I'm not sure of the, one second. So he was a... It was December 2016, it was. Yes. And this Alpha Public pilot was released. And I remember there was already kind of how we viewed video. We call it streaming, but it's actually not video. I'm streaming it like just the video file. There was nice tweets about that, too.

SPEAKER_01: And just to take a step back, so I mean, my understanding of a primary thought that there was with Swarm was that because you could have this holy trinity, right, of sort of like decentralized compute database, the blockchain, Swarm for the decentralized file system and storage and then Whisper for that decentralized messaging that you could have this really nice kind of synergy of say a primary issue which is still really not solved of saying well how do you like host the web front end right? You know, to make a whole application. Yes, you need your smart contracts and your transactions and things but you need like an application wrapping around that. So really the thought that if you had a decentralized storage mechanism that could store like the HTML and the JavaScript and so on, Um, that you want, like, an incentive system so that that stuff is available if people want it, you know, that you don't have a tragedy of the commons where only most popular content is available. But also, because if you're building on Ethereum, you've got the cryptocurrency to do the incentives. You've got the smart contract system that allows you to implement those intensive incentive systems. And all of these things can fit together into a like a holistic, unstoppable whole right of saying, oh, here you go. You've got your applications, which which cannot be stopped. But that's the full stack. And it seems even now that there's an awful lot of stuff which is dependent on centralized hosted services. And it's very central.

SPEAKER_00: Yeah, I am pretty sad about this, to be honest. I mean, there's a lot of these things. I don't know if you remember this big, I don't know, was it BitGo? That kind of lost the biggest crypto heist ever because of the safe, you know, what? If that had been using Swarm, then it must be much more difficult to change all these kind of transactions under the hood because they had to, what they had to do is like they hacked the person, the dev's account and then uploaded something through S3, which then which then make the Safe wallet used. And of course, these are much more difficult to do if these things are, the content address is of course registered. This is how these things work. Like, you know, you start from the blockchain, you start seeing the source of truth, ENS or services as a name. You resolve it to content hash, and then the content hash is retrieved from the Swarm, from these decentralized stores.

SPEAKER_01: And I mean, again, that 2016 kind of era was when ENS was coming to life as well. So, yeah, I mean, that's another important part.

SPEAKER_00: Actually, Nick Johnson was first part of the Swarm team. As part of the Swarm team, he developed the ENS, and then later took off, and then he pivoted to the ENS.

SPEAKER_01: I didn't know he worked on Swarm. I knew he was part of the Geth team, but he did some Swarm as well, eh?

SPEAKER_00: Well, definitely. I recruited him, to be honest.

SPEAKER_01: Fantastic. Did you know him in London?

SPEAKER_00: No, no, no. I mean, he was just part of the community. He was a very, very valuable contribution to the community. Yeah, to Swarm.

SPEAKER_01: Yeah, let me just check the timeline. But I think he got hired really pretty soon after me. I started in February 2016, and I think he was maybe June. Same kind of time as Hudson.

SPEAKER_00: Yeah.

SPEAKER_01: Let's see. So, yeah, I started in February. Greg Colvin in March. Everton Fraga in April. And, yeah, June, both Hudson and Jamie Pitts and Nick Johnson. All June 2016. Yeah. What was I going to mention? So yeah, you talked about DEVcon 0. So that was November 2014 in Berlin. I imagine, was that the first time that you will have met quite a number of these people?

SPEAKER_00: Absolutely. Actually, yeah. Especially memorable is my meeting with Alex Leverington.

SPEAKER_01: Oh, yes.

SPEAKER_00: The RLPx fame. Yeah. Interesting. We had lots of discussions. Yeah. He was very adamant and very stubborn with his own way of thinking about the protocol. I have to say, he was much more knowledgeable than I was at the time, so I was trying to learn a lot from him. But at the same time, I was looking at how he was trying to be a bit more pragmatic and trying to be savvy, and then I have to simplify. And I remember, at first, basically brought together the kind of specs for the protocol. And then that was not really followed. It was a very interesting time.

SPEAKER_01: Well, I mean, the other piece there is that libp2p as part of the protocol, you know, labs, IPFS, that already existed at that time. So that was kind of interesting, right? This whole devp2p, libp2p.

SPEAKER_00: I mean, you know how Ethereum kind of suffers from this kind of... What's the word for this? Not invented here syndrome?

SPEAKER_01: Not invented here syndrome.

SPEAKER_00: Thank you, thank you. Like you know the RLPx stuff, right? Like then we have that one on a serialization protocol like the RLPx as well, I have to say that RLPx at some point was pretty kind of a lean, lean...

SPEAKER_01: Right.

SPEAKER_00: Excellent. For the purposes of including it in this form, for example, it's a lot less bloated, but of course it had a lot of problems in terms of maintenance. It's just not appropriate to start like that and build everything from scratch. In retrospect, it was probably not the best idea, to be honest. But hey.

SPEAKER_01: And I mean, that's got stuck in the execution clients forever. You know, the consensus clients now are using libp2p and aren't using RLP anymore. But the execution client got stuck with devp2p forever. And I mean, I remember having discussions with various people on this in sort of 2016 of saying well you could you have both protocols you know people looking at sort of could you do a bridge protocol so that some of the stuff could run over libp2p and you can have like relay nodes. Um, really with the thought that you like libp2p you could run in a browser right you know devp2p you could never run in a browser. Um, And so, like, was working with somebody from the Parity team, maybe Robert, around maybe a little later, 2017, 2018, of trying to see, well, can we get a light client in browser talking to all of these things? But it never quite happened. Some of these decisions just last forever.

SPEAKER_00: It was only after the Swarm left the foundation is when we kind of switched to the libp2p as well. We started a big Bee client development.

SPEAKER_01: Right, right. I was, yeah, I wasn't aware that that transition had happened. So, I mean, DEVcon 0, so that was, you know, that was late 2014. But, you know, things continued, obviously, through 2015 all the way up to the July launch.

SPEAKER_00: At the time, Swarm was just an idea which was kind of mainly kind of meant to be specked out or who has started by by Tony, who had this kind of very interesting and passed into the center storage and he actually presented his his vision of that. DEVcon you yeah. Very good early early capturing on this idea.

SPEAKER_01: And at that point he so at that point he got he got hired in and.

SPEAKER_00: Uh, you know that that became a real a thread of official development within the Ethereum stack around who, sorry? And then slowly, slowly, kind of organically became a little bit of a sub-team after that. And so after that, Zoltan never really contributed. It was the first bit to change. I think he was even programmed before it still came.

SPEAKER_01: He was telling me that he was thinking that was what he would be doing when he was hired in.

SPEAKER_00: But then almost immediately Jeff told him yeah no you're not you're just working on gas. Yes, I mean, we have incentive for to to develop the incentivized Swarm lifetime protocol. She worked on for many many years and it's a bit sad that it never took off but um. Yeah, well, I mean, it's tough.

SPEAKER_01: I mean, that's my interest in that is where my own journey started. Because when I kind of got interested in Ethereum, the first thing I wanted to do was I was really into mobile and wearables at that time. So I wanted to see, can I run an Ethereum node on my smartwatch? So I was doing ARM Linux cross builds of C++ Ethereum. And my thought at that time was, okay, you know, light client is still getting worked out, but I'll get a full client working on all these devices. And then when light client, you know, comes out, they'll just work, right? So I can run a full client on a testnet, make sure it all works. But, you know, it's just a matter of time. You know, of course, we'll have light clients and of course, everything will scale. And of course, you can run all things on any devices, right? You know, we're thinking every phone is, you know, you're just going to have an Ethereum node running, every router, media box.

SPEAKER_00: And we're still suffering the kind of RPC and then centralized access, right?

SPEAKER_01: How unstoppable is that? Yeah, it will just get you know, you it will just come with every Linux distro you know, it will just be like a service that's just part of the Linux distro you know just get shipped you've just got this background service that you know that is just talking Ethereum you know, and it'd be the same as like having you know a network stack or a or an audio stack or whatever it's just like yeah you're gonna have a consensus stack and you know, it'll just like run in the background and just work. You like cheap and easy. Yeah. Not, no quite happen.

SPEAKER_00: 10 years in, I mean, it's kind of made me, these things are starting, like, I don't know if you know, the DBooT project, for example, like, no, what's that? How to, how to boot from, from Swarm. Yeah.

SPEAKER_01: Booting, booting from Swarm.

SPEAKER_00: Yes. I mean, they're just building the kind of UEFI client that can bring up kind of any operating system. Wow.

SPEAKER_01: Okay, that's interesting.

SPEAKER_00: Yes, interesting. I mean, it's not worked out fully yet, but the guys are really...

SPEAKER_01: I mean, there's a fair bit of, like, you know, networking stuff that would have to happen before you could even start, right? Like that's having to have some kind of bootstrapping little mini OS or something.

SPEAKER_00: Yeah. And it seems that even before that you can, you can do it, you know, just, uh, yeah. Um, I mean, they, they already have that kind of bandwidth, kind of a small Linuxoid environment is, is created and, and they moved from that to interesting things and they can do it just with the Swarm.

SPEAKER_01: Mm-hmm. So, I mean, through those early years prior to Mainnet launch, you'd mentioned work on the Yellow Paper. So, I mean, how was it being determined what feature complete, what good enough looks like? Had you got a good idea of what you'd have to have before launch could happen?

SPEAKER_00: I mean, well, I didn't have a clear idea, really, because it took me a while to understand the full system. I'm very honest with you. It's like, I think it's only Jeff who really, really opens it up. Where he already knew what was needed to be built. And he was building massive things on his own, single-handedly. It's really, really crazy. Not so good experience, but I was assigned the task of building the block pool, which was supposed to be like, you know, the one that takes the blocks from the other clients, builds up the header chain, and kind of validates it, et cetera. And I was working a lot on that, and every time he had enough and said, okay, I just build it and basically one or two days and it was done. And it was an interesting experience.

SPEAKER_01: And Christoph Jentzsch was, you know, building the cross-client tests as well. Did you do work with those tests yourselves? You, sorry, I mean?

SPEAKER_00: No, I did myself, but yeah, I remember he was always running and so I remember. So we're in sort of July 2015 we had the arrival of Ming Chan and shortly afterwards you know pretty serious budget cuts uh because within that year or so the foundation had managed to pretty much burn through the vast majority of the money. Austerities, I think he was the official name of that.

SPEAKER_00: Yeah, I remember. And that time when Vitalik basically said that Swarm is not going to be... what's going to be is maybe some, maybe if you just kind of use IPFS and let's start to work on the incentive system that we can put on that.

SPEAKER_01: Okay.

SPEAKER_00: And I remember that, maybe it's not the secret anymore, but Jeff kind of let us keep working on what's... Swarm period with. So we did, and then and there is enough to kind of, there was a, there was a basically ready, ready, incentivization scheme for the for the bandwidth incentives. It's also very interesting because Swarm seems to be the one of the only one of the only um, one of the only systems like this internet storage system that has a proper bandwidth and sent in a proper accounting system like this. It did for that accounting and it seems like this, it's quite, I don't know, and it's probably conjecture but it doesn't look like this there's any other proper way to do this because if you think about bandwidth, first of all it's a kind of instant gratification thing. You can write a forward for someone, like you write a server request or not. So it's not like the shady territory of like a future promise, like storage. You have to record your deal on the chain and like, you know, some proof of availability, et cetera. But here bandwidth is just much more, much more kind of, yeah, it seems like easier swap by just peer-to-peer accounting. That, you know, I forward for you, you forward for me, and then we just relate for each other, and if there's a big tilt, then some sort of quantization should happen. But I'm not sure, maybe it's not even, has to be some settlement around it. I'm just, and then maybe we kind of like this idea, this also kind of, that is genius, that came up in this kind of Chequebook idea. It's basically an early version of like, hmm, sort of payment channel like micropayment solution. And yeah, so that bandwidth incentive was a very powerful one. It lived on. And then I remember that kind of it seemed that the incentivization for storage was much more difficult the way to arrive at. There was the negative incentives. How to solve the problem of pricing and the growth and who's responsible for who, what. And if it's everything recorded on chain, how to attend the privacy of things. It's very, very difficult. So it came much, much, much, much later. I kind of worked out that part as well, it was only after after that after that even the token swap token was released 2021.

SPEAKER_01: So you were continuing to work through late 2015, even though it had supposedly been defunded?

SPEAKER_00: Yeah, kind of, yes. We were trying to figure out this incentive, of course, and in that sense, we were, of course, off track in a way. And I was also kind of working at the time on the Ethereum client on many aspects of it. And by 2017, the kind of Swarm client was kind of integrated, and that was released within Ethereum. It was in 2018, when it's kind of the concept three release was, was part of the Geth. And then it's kind of when, when the, when the Bee, uh, client was starting out, you start, start, uh, it started as a standalone Bee, Bee client.

SPEAKER_01: Starting 2018, you said?

SPEAKER_00: Yeah.

SPEAKER_01: So all the way through until that point, you were continuing to work as a sort of a Geth team member?

SPEAKER_00: Yes. I mean, officially we were part of the Geth Go Ethereum team. It's part of the Amsterdam entity. Yeah, slowly, slowly, kind of extending the team as the protocol got some movement. So, yeah, it was interesting times because I remember in 2016, when after Nick Johnson left, we kind of hired some other people on the protocol. And then, yeah, that's when kind of when... And I am more like I emerged as the team leader, the type of organically trying to try to put together the threads.

SPEAKER_01: And so with the Swarm Foundation, how and when did that happen? And how did you come to, you know, kind of, you know, leave the Geth team, I guess?

SPEAKER_00: Well, so it was 2018, autumn, man. Actually, 2018, summer, I and a person called Albert came and started to offer the help for Swarm. They were kind of asking what we need. They seemed very helpful.

SPEAKER_01: And then the next- Albert Ni is this?

SPEAKER_00: Yes, I think so.

SPEAKER_01: Yeah, who had basically joined the Ethereum Foundation at the same time as Aya.

